Date,NOKOIS1w,NOKOIS1m,NOKOIS3m,NOKOIS6m
15/10/2007,5,5,5.06,5.14
16/10/2007,5,5,5.06,5.15
17/10/2007,5,5,5.06,5.15
18/10/2007,5,5,5.06,5.15
19/10/2007,5,5,5.07,5.15
20/10/2007,5,5,5.07,5.15
21/10/2007,5,5,5.07,5.15
22/10/2007,5,5,5.07,5.17
23/10/2007,5,5,5.07,5.17
24/10/2007,5,5,5.07,5.17
25/10/2007,5,5,5.08,5.17
26/10/2007,5,5,5.08,5.17
27/10/2007,5,5,5.08,5.17
28/10/2007,5,5,5.08,5.17
29/10/2007,5,5,5.08,5.18
30/10/2007,5,5,5.09,5.18
31/10/2007,4.99,4.99,5.1,5.17
01/11/2007,4.98,4.98,5.11,5.16
02/11/2007,4.96,4.96,5.11,5.14
03/11/2007,4.96,4.96,5.11,5.14
04/11/2007,4.96,4.96,5.11,5.14
05/11/2007,4.94,4.94,5.11,5.13
06/11/2007,4.93,4.93,5.12,5.1
07/11/2007,4.92,4.92,5.12,5.1
08/11/2007,4.91,4.91,5.12,5.09
09/11/2007,4.9,4.9,5.13,5.08
10/11/2007,4.9,4.9,5.13,5.08
11/11/2007,4.9,4.9,5.13,5.08
12/11/2007,4.9,4.91,5.13,5.08
13/11/2007,4.9,4.91,5.13,5.08
14/11/2007,4.9,4.92,5.14,5.09
15/11/2007,4.9,4.92,5.14,5.09
16/11/2007,4.9,4.93,5.14,5.09
17/11/2007,4.9,4.93,5.14,5.09
18/11/2007,4.9,4.93,5.14,5.09
19/11/2007,4.9,4.93,5.12,5.09
20/11/2007,4.9,4.98,5.12,5.12
21/11/2007,4.9,4.99,5.12,5.12
22/11/2007,4.9,5,5.13,5.13
23/11/2007,4.9,5.01,5.13,5.13
24/11/2007,4.9,5.01,5.13,5.13
25/11/2007,4.9,5.01,5.13,5.13
26/11/2007,4.9,5.02,5.14,5.13
27/11/2007,4.9,5.04,5.14,5.13
28/11/2007,4.9,5.05,5.14,5.13
29/11/2007,4.9,5.06,5.15,5.13
30/11/2007,4.9,5.07,5.15,5.14
01/12/2007,4.9,5.07,5.15,5.14
02/12/2007,4.9,5.07,5.15,5.14
03/12/2007,4.9,5.08,5.16,5.14
04/12/2007,4.9,5.09,5.12,5.14
05/12/2007,4.95,5.1,5.12,5.14
06/12/2007,5,5.12,5.13,5.14
07/12/2007,5.05,5.13,5.13,5.15
08/12/2007,5.05,5.13,5.13,5.15
09/12/2007,5.05,5.13,5.13,5.15
10/12/2007,5.1,5.14,5.13,5.15
11/12/2007,5.15,5.15,5.13,5.15
12/12/2007,5.15,5.15,5.13,5.15
13/12/2007,5.21,5.24,5.1,5.25
14/12/2007,5.25,5.25,5.13,5.25
15/12/2007,5.25,5.25,5.13,5.25
16/12/2007,5.25,5.25,5.13,5.25
17/12/2007,5.25,5.25,5.25,5.25
18/12/2007,5.25,5.25,5.13,5.25
19/12/2007,5.25,5.25,5.28,5.25
20/12/2007,5.25,5.25,5.25,5.25
21/12/2007,5.25,5.25,5.22,5.25
22/12/2007,5.25,5.25,5.22,5.25
23/12/2007,5.25,5.25,5.22,5.25
24/12/2007,5.25,5.25,5.25,5.25
25/12/2007,5.25,5.25,5.25,5.25
26/12/2007,5.25,5.25,5.25,5.25
27/12/2007,5.25,5.25,5.26,5.25
28/12/2007,5.25,5.25,5.23,5.25
29/12/2007,5.25,5.25,5.23,5.25
30/12/2007,5.25,5.25,5.23,5.25
31/12/2007,5.2,5.24,5.25,5.25
01/01/2008,5.2,5.24,5.25,5.25
02/01/2008,5.25,5.25,5.24,5.25
03/01/2008,5.25,5.25,5.26,5.25
04/01/2008,5.25,5.25,5.26,5.25
05/01/2008,5.25,5.25,5.26,5.25
06/01/2008,5.25,5.25,5.26,5.25
07/01/2008,5.25,5.25,5.2,5.25
08/01/2008,5.25,5.25,5.28,5.25
09/01/2008,5.25,5.25,5.25,5.25
10/01/2008,5.25,5.25,5.36,5.25
11/01/2008,5.25,5.25,5.18,5.25
12/01/2008,5.25,5.25,5.18,5.25
13/01/2008,5.25,5.25,5.18,5.25
14/01/2008,5.25,5.25,5.23,5.25
15/01/2008,5.25,5.25,5.16,5.25
16/01/2008,5.25,5.25,5.19,5.25
17/01/2008,5.25,5.25,5.17,5.25
18/01/2008,5.25,5.25,5.28,5.25
19/01/2008,5.25,5.25,5.28,5.25
20/01/2008,5.25,5.25,5.28,5.25
21/01/2008,5.25,5.25,5.28,5.25
22/01/2008,5.25,5.25,5.33,5.25
23/01/2008,5.25,5.25,5.22,5.25
24/01/2008,5.25,5.25,5.25,5.25
25/01/2008,5.25,5.25,5.17,5.25
26/01/2008,5.25,5.25,5.17,5.25
27/01/2008,5.25,5.25,5.17,5.25
28/01/2008,5.25,5.25,5.25,5.25
29/01/2008,5.25,5.25,5.25,5.25
30/01/2008,5.25,5.25,5.29,5.25
31/01/2008,5.25,5.25,5.21,5.25
01/02/2008,5.25,5.25,5.32,5.25
02/02/2008,5.25,5.25,5.32,5.25
03/02/2008,5.25,5.25,5.32,5.25
04/02/2008,5.25,5.25,5.19,5.25
05/02/2008,5.25,5.25,5.29,5.25
06/02/2008,5.25,5.25,5.27,5.25
07/02/2008,5.25,5.25,5.37,5.25
08/02/2008,5.25,5.25,5.23,5.25
09/02/2008,5.25,5.25,5.23,5.25
10/02/2008,5.25,5.25,5.23,5.25
11/02/2008,5.25,5.25,5.26,5.25
12/02/2008,5.25,5.25,5.26,5.25
13/02/2008,5.25,5.26,5.36,5.39
14/02/2008,5.25,5.27,5.33,5.39
15/02/2008,5.25,5.27,5.41,5.39
16/02/2008,5.25,5.27,5.41,5.39
17/02/2008,5.25,5.27,5.41,5.39
18/02/2008,5.25,5.28,5.3,5.4
19/02/2008,5.25,5.29,5.4,5.4
20/02/2008,5.25,5.28,5.34,5.37
21/02/2008,5.25,5.29,5.28,5.37
22/02/2008,5.25,5.29,5.41,5.37
23/02/2008,5.25,5.29,5.41,5.37
24/02/2008,5.25,5.29,5.41,5.37
25/02/2008,5.25,5.3,5.37,5.38
26/02/2008,5.25,5.3,5.34,5.38
27/02/2008,5.25,5.3,5.4,5.38
28/02/2008,5.25,5.31,5.41,5.38
29/02/2008,5.25,5.31,5.34,5.38
01/03/2008,5.25,5.31,5.34,5.38
02/03/2008,5.25,5.31,5.34,5.38
03/03/2008,5.25,5.32,5.39,5.38
04/03/2008,5.25,5.32,5.44,5.38
05/03/2008,5.25,5.33,5.32,5.38
06/03/2008,5.27,5.33,5.4,5.38
07/03/2008,5.29,5.34,5.41,5.39
08/03/2008,5.29,5.34,5.41,5.39
09/03/2008,5.29,5.34,5.41,5.39
10/03/2008,5.3,5.32,5.48,5.43
11/03/2008,5.31,5.33,5.4,5.43
12/03/2008,5.33,5.33,5.26,5.41
13/03/2008,5.25,5.25,5.43,5.5
14/03/2008,5.25,5.25,5.43,5.5
15/03/2008,5.25,5.25,5.43,5.5
16/03/2008,5.25,5.25,5.43,5.5
17/03/2008,5.25,5.25,5.4,5.5
18/03/2008,5.25,5.25,5.29,5.51
19/03/2008,5.25,5.25,5.41,5.51
20/03/2008,5.25,5.25,5.41,5.51
21/03/2008,5.25,5.25,5.41,5.51
